	KM_pvals	KM_fdr	Cox_P	Cox_fdr	Cox_HR
BMP1	9.85816833029186e-10	3.74610396551091e-08	8.13996130297002e-10	3.09318529512861e-08	3.94315337359038
MRGBP	3.23020195128103e-08	6.13738370743395e-07	2.20171839149302e-08	4.18326494383674e-07	3.60692897442698
IL15RA	1.14753504720097e-07	1.45354439312123e-06	8.73636560165474e-08	1.10660630954293e-06	3.32779360435003
PLXNA1	8.64750522318961e-06	8.21512996203013e-05	9.89319074030649e-06	9.39853120329117e-05	2.5405121264609
C1QL1	2.02140393476131e-05	0.00015362669904186	1.72485098616286e-05	0.000131088674948378	2.50939679745121
ARL4C	2.84026858845451e-05	0.000179883677268786	2.61144703384268e-05	0.000165391645476703	2.4355921499085
TMSB10	4.88247346127875e-05	0.000265048559326561	4.331724153546e-05	0.000235150739763925	2.49307644379314
SEC61G	0.000172002973369393	0.00074283923363254	0.000151061756552673	0.000717543343625196	2.25530353331301
TMEM75	0.000175935607965602	0.00074283923363254	0.000172226215477366	0.000727177354237769	2.23450966032315
DEGS1	0.000411942235413288	0.0015653804945705	0.000383249822148267	0.00145634932416342	2.19749994754914
DERL1	0.000907769849860585	0.00313593220860929	0.000865769410412953	0.00299083978142656	2.05244813030985
AMZ1	0.00145872927599043	0.0046193093739697	0.0014697323811031	0.00465415254015983	1.97823856321764
LPCAT1	0.00194215104393468	0.00567705689765521	0.00184992674518206	0.00540747817822448	2.02272649635999
CHST15	0.00215059864543669	0.00583733918047102	0.00218576818515492	0.00593279935970621	1.9821302880296
RIN3	0.00238786459562934	0.00604925697559433	0.00240079022840381	0.00608200191195632	1.96184324616809
GPR35	0.00945613135087964	0.0224583119583391	0.00931340940385106	0.0221193473341463	1.79679089389485
RSPH9	0.0146326676212698	0.032708315859309	0.0146986456076319	0.0328557960641184	1.65164730755508
RAB32	0.0248780528282389	0.0525203337485044	0.0241824686608455	0.0510518782840072	1.63355346233152
TNFSF9	0.0288743431209107	0.0577486862418215	0.0285033942218055	0.0570067884436109	1.63653886215617
CDON	0.0533239400703221	0.101315486133612	0.0527006458440986	0.100131227103787	0.653766983449378
NCEH1	0.0561674827408145	0.101636397340522	0.0565542996519943	0.102336351751228	0.655884556210063
NCOR2	0.0596895131683462	0.103100068199871	0.0603155496990092	0.104181404025561	1.49478663929961
SCD	0.0717472160092989	0.118538878624059	0.0709649031034369	0.117246361649157	1.44571351116568
TUBB4A	0.0969405439155575	0.153489194532966	0.0963291048782597	0.152521082723911	0.694685858426343
MAFB	0.108431458678334	0.164815817191067	0.108307174718825	0.164626905572615	1.38835904171109
KRT20	0.119575898393079	0.174764774574501	0.119277202549573	0.172367147394713	1.36020751225019
ERRFI1	0.124250725914129	0.174871392027293	0.122471394201507	0.172367147394713	0.714763230999919
SLC6A3	0.140795000369054	0.191078929072288	0.140373850067341	0.190507367948535	0.731703526046766
ZHX2	0.156782827459312	0.20543956701565	0.157136781086691	0.205903368320492	1.34765231946302
IL1RAP	0.180328723802818	0.22841638348357	0.181548907644054	0.229961949682469	1.32287174625958
BTBD16	0.209432429420854	0.256723623161046	0.208668327919259	0.255786982610705	1.31341849651755
LACC1	0.323529987866061	0.372549682997282	0.32397663467806	0.373064003568675	0.807723632181074
TBC1D3F	0.317181950612224	0.372549682997282	0.318686474317544	0.373064003568675	1.22772184415743
NTSR1	0.417586646422415	0.466714487177993	0.416192084942318	0.465155859641414	0.833427433820279
SPP2	0.445753007585406	0.483960408235584	0.446769097634214	0.485063591717146	1.17602772065239
TNFSF10	0.483729242735449	0.510603089554085	0.482794772146402	0.509616703932314	1.16429720135791
SCARB1	0.589064778728868	0.604985448424243	0.589479977389246	0.605411868670037	0.891575099927737
PCSK6	0.782212548470832	0.782212548470832	0.78214498785903	0.78214498785903	0.945921626662115
