chr	start	end	name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	annotated_genes_1	annotated_genes_2	dist_to_TSS_1	dist_to_TSS_2
chr1	8261986	8262005	chr1_8261986_8262005_enh-1000208_4	18.13646495831722	-4.768766229618682	1.3101337036738707	-3.639908061479626	2.7273540438746364e-4	0.07776838627998034	ERRFI1	SLC45A1	-175628	-115890
chr1	31914049	31914068	chr1_31914049_31914068_enh-1001175_10	31.165815827798752	-1.5266986523401662	0.7360041930510981	-2.0743070036207976	0.03805080778916341	0.5616481508999269	TINAGL1	SERINC2	-128077	31647
chr1	224352252	224352271	chr1_224352252_224352271_enh-1005932_1	32.04743766571282	-1.8381953632179173	0.7467136659370152	-2.4617138363354503	0.0138274942931918	0.4156679686916803	DEGS1	FBXO28	-18611	50473
chr1	228688836	228688855	chr1_228688836_228688855_enh-1006092_14	19.661138611685494	-2.018003001338669	0.9170072117519693	-2.2006402735734376	0.02776150012062483	0.5224903857783334	RHOU	RNF187	-181978	14084
chr2	28391523	28391542	chr2_28391523_28391542_enh-1030900_2	19.026375708955456	-2.9035079128620134	1.172715003195206	-2.4758853642624588	0.013290624441529427	0.4135958134056191	RBKS	FOSL2	-277568	-224192
chr2	70041954	70041973	chr2_70041954_70041973_enh-1032042_3	17.18619535932811	-2.2905723902966937	1.0024618164866907	-2.2849472694375734	0.022315919863661743	0.4816877623811401	GMCL1	ANXA4	-14810	72858
chr2	85151590	85151609	chr2_85151590_85151609_enh-1032276_8	31.13305645031215	-1.6749853580035747	0.7718640667257419	-2.1700522542899114	0.030002887610642497	0.533525781945562	KCMF1	TMSB10	-46616	18851
chr2	85153852	85153871	chr2_85153852_85153871_enh-1032276_1	31.889619952621974	-2.274186104572679	0.9700353585187985	-2.344436297709046	0.019055865432408912	0.45261018201924513	KCMF1	TMSB10	-44354	21113
chr2	218563575	218563594	chr2_218563575_218563594_enh-1035205_3	131.10301428871296	-1.5215094357108792	0.40250031211681236	-3.7801447350662216	1.5673721890006265e-4	0.06661331803252662	TNP1	TNS1	-838798	245266
chr2	235096985	235097004	chr2_235096985_235097004_enh-1035684_19	43.55125785239349	-1.709027437163375	0.6463449228772457	-2.644141505058213	0.008189841001008974	0.3674262560715034	SPP2	ARL4C	137652	308702
